const,score,rating
15.4,1008452,17.49
15.1,1009576,17.25
15.2,1007912,17.24
15.2,1007872,17.23
15.1,1008695,17.21
15.2,1007517,17.2
15.1,1008596,17.2
15.1,1008467,17.19
15.1,1008127,17.16
15.1,1008032,17.15
15.1,1007954,17.14
15.1,1007810,17.13
15,1008779,17.12
15.1,1007683,17.11
15,1008674,17.11
15.2,1007032,17.1
15,1008442,17.09
15,1008340,17.08
15,1008260,17.07
15.2,1006797,17.05
15,1008002,17.05
15.1,1007224,17.04
15,1007950,17.04
15,1007866,17.03
15,1007625,17.01
15,1007694,17.01
15,1007515,17
15,1007545,17
15,1007584,17
14.9,1008447,16.99
14.9,1008149,16.96
14.9,1008179,16.96
14.9,1007918,16.94
14.9,1007987,16.94
14.9,1007797,16.92
14.8,1008692,16.91
14.9,1007596,16.9
15.2,1005960,16.89
14.8,1008454,16.89
14.8,1008333,16.88
14.8,1008379,16.88
15.4,1004784,16.87
14.8,1008187,16.86
15.3,1005080,16.81
15.5,1003046,16.8
14.7,1008570,16.8
14.7,1008309,16.78
15.4,1003770,16.77
15.3,1004669,16.76
14.7,1007907,16.74
14.9,1006668,16.73
14.7,1007888,16.73
14.7,1007564,16.7
14.6,1008516,16.7
14.6,1008528,16.7
15.3,1003858,16.68
14.6,1008318,16.68
14.6,1008399,16.68
15.1,1005369,16.67
14.6,1008247,16.67
15.1,1005347,16.66
14.6,1008121,16.66
14.6,1008152,16.66
15.2,1004555,16.65
14.5,1009733,16.65
14.6,1007805,16.63
14.5,1008600,16.61
14.7,1007027,16.6
14.6,1007521,16.6
14.6,1007544,16.6
14.6,1007553,16.6
14.6,1007553,16.6
14.5,1008274,16.57
15.3,1002637,16.56
14.5,1008160,16.56
14.5,1008178,16.56
14.4,1009111,16.55
15.5,1000496,16.54
15,1005232,16.54
14.5,1007934,16.54
14.5,1007713,16.52
15.2,1003161,16.51
14.5,1007609,16.51
15.2,1003007,16.5
14.5,1007517,16.5
15.5,999846,16.49
14.9,1005435,16.48
15.7,994482,16.47
15,1004782,16.47
14.4,1008283,16.47
15.1,1003604,16.46
15,1004633,16.46
14.4,1008171,16.46
14.9,1005250,16.45
14.3,1009237,16.45
14.4,1007909,16.44
14.9,1005177,16.43
14.4,1007855,16.43
14.4,1007859,16.43
15.1,1003215,16.42
14.3,1008746,16.42
14.4,1007602,16.41
14.3,1008667,16.41
15.7,992734,16.4
15.3,1001091,16.4
15.2,1001882,16.38
14.3,1008335,16.38
14.3,1008344,16.38
15.1,1002775,16.37
14.3,1008241,16.37
14.3,1008177,16.36
14.2,1009540,16.35
15.3,1000398,16.33
14.3,1007837,16.33
14.3,1007849,16.33
14.3,1007896,16.33
14.2,1008880,16.33
14.4,1006968,16.29
14.2,1008209,16.27
14.2,1008219,16.27
14.2,1008286,16.27
14.5,1006294,16.25
14.2,1008001,16.25
14.2,1008072,16.25
14.1,1009237,16.25
14.1,1009438,16.25
15.1,1001413,16.24
15,1002406,16.24
14.2,1007906,16.24
14.5,1006158,16.23
14.5,1006162,16.23
14.2,1007874,16.23
15,1002242,16.22
14.1,1008722,16.22
14.2,1007593,16.2
14.5,1005969,16.19
14.1,1008445,16.19
14.7,1004833,16.18
14.7,1004786,16.17
14.4,1006368,16.17
14.4,1006396,16.17
15.1,1000640,16.16
15.3,996476,16.15
15.2,998815,16.15
14.9,1002541,16.15
14.1,1008061,16.15
14,1009009,16.15
14,1009057,16.15
14,1009171,16.15
14,1009344,16.15
14,1009802,16.15
14.4,1006230,16.14
15,1001302,16.13
14.3,1006660,16.13
14.1,1007847,16.13
14.1,1007894,16.13
15,1001243,16.12
14.9,1002213,16.12
14.1,1007762,16.12
14,1008681,16.11
14,1008436,16.09
14,1008307,16.08
14,1008381,16.08
14,1008394,16.08
15.2,996930,16.07
15.1,999319,16.07
14,1008273,16.07
14.2,1006833,16.06
14,1008101,16.06
14,1008191,16.06
15.5,988928,16.05
14.9,1001544,16.05
14.7,1003588,16.05
14,1008090,16.05
13.9,1009818,16.05
13.9,1009870,16.05
14.8,1002437,16.04
14,1007900,16.04
14,1007915,16.04
14,1007965,16.04
14,1007995,16.04
14,1007828,16.03
14,1007720,16.02
14,1007754,16.02
14.9,1001127,16.01
14,1007642,16.01
14,1007645,16.01
14.8,1002042,16
15,999863,15.99
14.8,1001943,15.99
13.9,1008224,15.97
15.1,996686,15.96
15,999167,15.96
15.5,986366,15.95
15.1,995765,15.93
15.3,990253,15.91
15.3,990456,15.91
15.1,994838,15.89
14.8,1000908,15.89
14.7,1001982,15.89
13.8,1008013,15.85
13.7,1009839,15.85
13.9,1007127,15.82
15,995091,15.8
13.7,1008394,15.78
14.8,998689,15.74
15.4,983376,15.73
14.6,1001259,15.72
14.8,997862,15.71
14.7,1000122,15.71
14.4,1003149,15.71
15.5,980226,15.7
14.4,1003061,15.7
14.2,1004713,15.67
15,991688,15.66
15,990762,15.63
14.8,995365,15.61
14.3,1002748,15.57
13.4,1009453,15.55
14.2,1003424,15.54
13.6,1007224,15.54
14.2,1003306,15.53
13.3,1009602,15.45
14.3,1001393,15.43
14.3,1001206,15.42
14.6,995310,15.41
14.5,997536,15.4
13.9,1004933,15.39
14.9,987136,15.38
14.8,989493,15.37
14.4,998807,15.35
13.6,1006212,15.34
14.4,998132,15.32
14.3,1000040,15.3
14,1002879,15.28
15.1,979479,15.27
15,981273,15.25
14.1,1001508,15.25
13.1,1009422,15.25
13.7,1005202,15.24
14.6,989731,15.18
14.6,988397,15.13
13.8,1003304,15.13
13.4,1006124,15.12
14,1000867,15.08
15,976771,15.07
14,1000554,15.05
13.7,1003599,15.05
13.6,1004558,15.05
12.9,1009731,15.05
14.3,993665,15.04
14.2,994873,14.99
14.3,991687,14.96
14,998554,14.94
14.9,975839,14.93
13,1007063,14.91
14.3,989728,14.88
14,996857,14.87
13.7,1000906,14.79
13.5,1002967,14.79
14.3,986637,14.76
13.8,998843,14.75
14.4,983111,14.72
14.2,988076,14.72
13,1005951,14.69
12.8,1006987,14.69
12.6,1008295,14.67
13.4,1002413,14.64
13.6,1000005,14.6
14.1,986331,14.55
14.3,981035,14.54
14.9,969264,14.51
12.3,1008747,14.42
13,1004013,14.4
14.7,969956,14.36
14.1,981270,14.35
14,983852,14.35
12.9,1004474,14.34
14,980758,14.23
13.6,987007,14.08
13.3,994307,14.07
13,1000700,14.07
11.9,1008928,14.04
14.2,972545,14.03
13.1,997802,14.01
12.3,1006037,14
12.6,1003158,13.91
12.7,1001721,13.87
11.7,1009940,13.85
13.7,978531,13.84
12.9,991478,13.55
11.5,1007424,13.48
14.4,959291,13.35
15.6,937462,13.09
14.3,956582,13.07
14.9,944804,12.88
12.5,983549,12.84
14,957095,12.8
14.7,943184,12.57
10.4,1009414,12.55
10.3,1009871,12.45
11.6,994686,12.38
10.9,1003655,12.26
10.1,1009500,12.25
10,1009955,12.15
15.3,925219,11.98
9,1008437,11.09
10,999314,10.97
9.5,993748,10.24
10.9,935389,8.25
7.5,974921,7.49
14.4,844245,6.77
15.1,795356,4.97
14.8,795515,4.82
15.1,776659,4.65
14.2,716739,3.32
14.5,519899,0.31
13.1,255543,0
